# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
4.0400000e+03    1.4393138e+07    5.0543261e+07
4.0500000e+03    1.4395453e+07    5.0518562e+07
4.0600000e+03    1.4397767e+07    5.0493862e+07
4.0700000e+03    1.4400082e+07    5.0469163e+07
4.0800000e+03    1.4402396e+07    5.0444464e+07
4.0900000e+03    1.4404711e+07    5.0419765e+07
4.1000000e+03    1.4407025e+07    5.0395066e+07
4.1100000e+03    1.4409340e+07    5.0370366e+07
4.1200000e+03    1.4411654e+07    5.0345667e+07
4.1300000e+03    1.4413969e+07    5.0320968e+07
4.1400000e+03    1.4416283e+07    5.0296269e+07
4.1500000e+03    1.4418598e+07    5.0271570e+07
4.1600000e+03    1.4420912e+07    5.0246870e+07
4.1700000e+03    1.4423227e+07    5.0222171e+07
4.1800000e+03    1.4425541e+07    5.0197472e+07
4.1900000e+03    1.4427856e+07    5.0172773e+07
4.2000000e+03    1.4430170e+07    5.0148074e+07
4.2100000e+03    1.4432485e+07    5.0123374e+07
4.2200000e+03    1.4434799e+07    5.0098675e+07
4.2300000e+03    1.4437114e+07    5.0073976e+07
4.2400000e+03    1.4439428e+07    5.0049277e+07
4.2500000e+03    1.4441743e+07    5.0024578e+07
4.2600000e+03    1.4444057e+07    4.9999878e+07
4.2700000e+03    1.4446372e+07    4.9975179e+07
4.2800000e+03    1.4448686e+07    4.9950480e+07
4.2900000e+03    1.4451001e+07    4.9925781e+07
4.3000000e+03    1.4453315e+07    4.9901082e+07
4.3100000e+03    1.4455630e+07    4.9876382e+07
4.3200000e+03    1.4457944e+07    4.9851683e+07
4.3300000e+03    1.4460259e+07    4.9826984e+07
4.3400000e+03    1.4462573e+07    4.9802285e+07
4.3500000e+03    1.4464888e+07    4.9777586e+07
4.3600000e+03    1.4467202e+07    4.9752886e+07
4.3700000e+03    1.4469517e+07    4.9728187e+07
4.3800000e+03    1.4471831e+07    4.9703488e+07
4.3900000e+03    1.4474146e+07    4.9678789e+07
4.4000000e+03    1.4476460e+07    4.9654089e+07
4.4100000e+03    1.4478775e+07    4.9629390e+07
4.4200000e+03    1.4481089e+07    4.9604691e+07
4.4300000e+03    1.4483404e+07    4.9579992e+07
4.4400000e+03    1.4485718e+07    4.9555293e+07
4.4500000e+03    1.4488033e+07    4.9530593e+07
4.4600000e+03    1.4490347e+07    4.9505894e+07
4.4700000e+03    1.4492662e+07    4.9481195e+07
4.4800000e+03    1.4494976e+07    4.9456496e+07
4.4900000e+03    1.4497291e+07    4.9431797e+07
4.5000000e+03    1.4499605e+07    4.9407097e+07
4.5100000e+03    1.4501880e+07    4.9382467e+07
4.5200000e+03    1.4503990e+07    4.9358126e+07
4.5300000e+03    1.4506099e+07    4.9333785e+07
4.5400000e+03    1.4508209e+07    4.9309443e+07
4.5500000e+03    1.4510319e+07    4.9285102e+07
4.5600000e+03    1.4512428e+07    4.9260761e+07
4.5700000e+03    1.4514538e+07    4.9236420e+07
4.5800000e+03    1.4516647e+07    4.9212079e+07
4.5900000e+03    1.4518757e+07    4.9187737e+07
4.6000000e+03    1.4520866e+07    4.9163396e+07
